"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 03 09:18:03 GMT 2025","Thu Apr 03 09:18:09 GMT 2025","5864","","Тесты на пустые поля","","tests.CheckLoginTest$EmptyInputTests","testCheckVisibleErrorMessageWithEmptyLoginAndPassword","Получение ошибки при пустом логине и пароле","Тест проверяет на получение ошибки, в случае если вводим пустой логин и пароль"
"failed","Thu Apr 03 09:16:53 GMT 2025","Thu Apr 03 09:17:51 GMT 2025","58285","","Тесты для Авторизации пользователя","","tests.CheckLoginTest","testCheckSuccessAuth","Прохождение авторизации","Тест проверяет успешное прохождение авторизации и с проверкой, что после нажатия на кнопку Войти в Одноклассники переход на страницу Лента"
"passed","Thu Apr 03 09:17:51 GMT 2025","Thu Apr 03 09:17:57 GMT 2025","6298","","Тесты на невалидные данные","","tests.CheckLoginTest$InvalidInputTests","testCheckVisibleErrorMessageWrongLogin","Получение ошибки при неправильном логине и пароле","Тест проверяет на получение ошибки, в случае если вводим неправильный логин и пароль"
"passed","Thu Apr 03 09:17:57 GMT 2025","Thu Apr 03 09:18:03 GMT 2025","5560","","Тесты на пустые поля","","tests.CheckLoginTest$EmptyInputTests","testCheckVisibleErrorMessageWithEmptyLogin","Получение ошибки при пустом логине","Тест проверяет на получение ошибки, в случае если вводим пустой логин"
