"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Получение ошибки в случае пустого ввода","","0","0","2","0","0"
"Авторизация","Вход по логину и паролю","Успешная авторизация с валидными данными","1","0","0","0","0"
"","Получение ошибки в случае ввода неправильных данных","","0","0","1","0","0"
