"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 03 07:46:18 GMT 2025","Thu Apr 03 07:46:28 GMT 2025","9438","","Тесты для Авторизации пользователя","","tests.CheckLoginTest","testCheckVisibleErrorMessageWithEmptyLoginAndPassword","Получение ошибки при пустом логине и пароле","Тест проверяет на получение ошибки, в случае если вводим пустой логин и пароль"
"passed","Thu Apr 03 07:46:05 GMT 2025","Thu Apr 03 07:46:18 GMT 2025","13505","","Тесты для Авторизации пользователя","","tests.CheckLoginTest","testCheckVisibleErrorMessageWithEmptyPassword","Получение ошибки при пустом пароле","Тест проверяет на получение ошибки, в случае если вводим пустой пароль"
"failed","Thu Apr 03 07:45:45 GMT 2025","Thu Apr 03 07:46:05 GMT 2025","19880","","Тесты для Авторизации пользователя","","tests.CheckLoginTest","testCheckSuccessAuth","Прохождение авторизации","Тест проверяет успешное прохождение авторизации и с проверкой, что после нажатия на кнопку Войти в Одноклассники переход на страницу Лента"
"passed","Thu Apr 03 07:44:53 GMT 2025","Thu Apr 03 07:45:34 GMT 2025","41208","","Тесты для Авторизации пользователя","","tests.CheckLoginTest","testCheckVisibleErrorMessageWithEmptyLogin","Получение ошибки при пустом логине","Тест проверяет на получение ошибки, в случае если вводим пустой логин"
"passed","Thu Apr 03 07:45:34 GMT 2025","Thu Apr 03 07:45:45 GMT 2025","10612","","Тесты для Авторизации пользователя","","tests.CheckLoginTest","testCheckVisibleErrorMessageWrongLogin","Получение ошибки при неправильном логине и пароле","Тест проверяет на получение ошибки, в случае если вводим неправильный логин и пароль"
