"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Mar 26 20:52:14 GMT 2025","Wed Mar 26 20:52:30 GMT 2025","16389","","Тесты для Ленты пользователя","","tests.CheckTapeTest","testCheckButtonMomentsVisibleOnPage","Отображение кнопки Моменты при открытии страницы Лента","Тест проверяет отображение кнопки Моменты при открытии страницы Лента"
"failed","Wed Mar 26 20:52:46 GMT 2025","Wed Mar 26 20:53:03 GMT 2025","17207","","Тесты для Ленты пользователя","","tests.CheckTapeTest","testCheckActiveButtonOnTape","Выбор кнопки Увлечения при открытии страницы Лента","Тест проверяет атрибут aria-selected:true у кнопки Увлечения при открытии страницы Лента"
"failed","Wed Mar 26 20:52:30 GMT 2025","Wed Mar 26 20:52:46 GMT 2025","15843","","Тесты для Ленты пользователя","","tests.CheckTapeTest","testCheckActiveButtonMomentsAndButtonHobbiesNotActiveOnTape","Кнопка Моменты после нажатия активна и кнопка Увлечения неактивна","Тест проверяет, что после нажатия на кнопку Моменты атрибут aria-selected:true, у кнопки Увлечения атрибут атрибут aria-selected:false"
"failed","Wed Mar 26 20:51:58 GMT 2025","Wed Mar 26 20:52:14 GMT 2025","15875","","Тесты для Ленты пользователя","","tests.CheckTapeTest","testCheckNotActiveButtonOnTape","Неактивна кнопка Моменты при открытии страницы Лента","Тест проверяет атрибут aria-selected:false у кнопки Моменты при открытии страницы Лента"
"failed","Wed Mar 26 20:51:35 GMT 2025","Wed Mar 26 20:51:58 GMT 2025","22497","","Тесты для Ленты пользователя","","tests.CheckTapeTest","testCheckButtonHobbiesVisibleOnPage","Отображение кнопки Увлечения при открытии страницы Лента","Тест проверяет видимость кнопки Увлечения при открытии страницы Лента"
