"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Mar 26 20:51:33 GMT 2025","Wed Mar 26 20:51:55 GMT 2025","21837","","Тесты для Ленты пользователя","","tests.CheckTapeTest","testCheckActiveButtonOnTape","Выбор кнопки Увлечения при открытии страницы Лента","Тест проверяет атрибут aria-selected:true у кнопки Увлечения при открытии страницы Лента"
"failed","Wed Mar 26 20:51:11 GMT 2025","Wed Mar 26 20:51:33 GMT 2025","22294","","Тесты для Ленты пользователя","","tests.CheckTapeTest","testCheckActiveButtonMomentsAndButtonHobbiesNotActiveOnTape","Кнопка Моменты после нажатия активна и кнопка Увлечения неактивна","Тест проверяет, что после нажатия на кнопку Моменты атрибут aria-selected:true, у кнопки Увлечения атрибут атрибут aria-selected:false"
"failed","Wed Mar 26 20:50:50 GMT 2025","Wed Mar 26 20:51:11 GMT 2025","21021","","Тесты для Ленты пользователя","","tests.CheckTapeTest","testCheckButtonMomentsVisibleOnPage","Отображение кнопки Моменты при открытии страницы Лента","Тест проверяет отображение кнопки Моменты при открытии страницы Лента"
"failed","Wed Mar 26 20:50:31 GMT 2025","Wed Mar 26 20:50:50 GMT 2025","19144","","Тесты для Ленты пользователя","","tests.CheckTapeTest","testCheckNotActiveButtonOnTape","Неактивна кнопка Моменты при открытии страницы Лента","Тест проверяет атрибут aria-selected:false у кнопки Моменты при открытии страницы Лента"
"failed","Wed Mar 26 20:50:06 GMT 2025","Wed Mar 26 20:50:31 GMT 2025","24553","","Тесты для Ленты пользователя","","tests.CheckTapeTest","testCheckButtonHobbiesVisibleOnPage","Отображение кнопки Увлечения при открытии страницы Лента","Тест проверяет видимость кнопки Увлечения при открытии страницы Лента"
