"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Mar 27 11:54:30 GMT 2025","Thu Mar 27 11:55:03 GMT 2025","32224","","Тесты для Ленты пользователя","","tests.CheckTapeTest","testCheckButtonHobbiesVisibleOnPage","Отображение кнопки Увлечения при открытии страницы Лента","Тест проверяет видимость кнопки Увлечения при открытии страницы Лента"
"failed","Thu Mar 27 11:55:26 GMT 2025","Thu Mar 27 11:55:48 GMT 2025","22071","","Тесты для Ленты пользователя","","tests.CheckTapeTest","testCheckButtonMomentsVisibleOnPage","Отображение кнопки Моменты при открытии страницы Лента","Тест проверяет отображение кнопки Моменты при открытии страницы Лента"
"failed","Thu Mar 27 11:55:03 GMT 2025","Thu Mar 27 11:55:26 GMT 2025","23261","","Тесты для Ленты пользователя","","tests.CheckTapeTest","testCheckNotActiveButtonOnTape","Неактивна кнопка Моменты при открытии страницы Лента","Тест проверяет атрибут aria-selected:false у кнопки Моменты при открытии страницы Лента"
"failed","Thu Mar 27 11:55:48 GMT 2025","Thu Mar 27 11:56:11 GMT 2025","22805","","Тесты для Ленты пользователя","","tests.CheckTapeTest","testCheckActiveButtonMomentsAndButtonHobbiesNotActiveOnTape","Кнопка Моменты после нажатия активна и кнопка Увлечения неактивна","Тест проверяет, что после нажатия на кнопку Моменты атрибут aria-selected:true, у кнопки Увлечения атрибут атрибут aria-selected:false"
"failed","Thu Mar 27 11:56:11 GMT 2025","Thu Mar 27 11:56:35 GMT 2025","24627","","Тесты для Ленты пользователя","","tests.CheckTapeTest","testCheckActiveButtonOnTape","Выбор кнопки Увлечения при открытии страницы Лента","Тест проверяет атрибут aria-selected:true у кнопки Увлечения при открытии страницы Лента"
