"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 03 07:45:07 GMT 2025","Thu Apr 03 07:45:13 GMT 2025","5592","","Тесты для Авторизации пользователя","","tests.CheckLoginTest","testCheckVisibleErrorMessageWithEmptyPassword","Получение ошибки при пустом пароле","Тест проверяет на получение ошибки, в случае если вводим пустой пароль"
"passed","Thu Apr 03 07:44:06 GMT 2025","Thu Apr 03 07:44:42 GMT 2025","35913","","Тесты для Авторизации пользователя","","tests.CheckLoginTest","testCheckVisibleErrorMessageWithEmptyLogin","Получение ошибки при пустом логине","Тест проверяет на получение ошибки, в случае если вводим пустой логин"
"passed","Thu Apr 03 07:44:42 GMT 2025","Thu Apr 03 07:44:50 GMT 2025","7684","","Тесты для Авторизации пользователя","","tests.CheckLoginTest","testCheckVisibleErrorMessageWrongLogin","Получение ошибки при неправильном логине и пароле","Тест проверяет на получение ошибки, в случае если вводим неправильный логин и пароль"
"failed","Thu Apr 03 07:44:50 GMT 2025","Thu Apr 03 07:45:07 GMT 2025","17316","","Тесты для Авторизации пользователя","","tests.CheckLoginTest","testCheckSuccessAuth","Прохождение авторизации","Тест проверяет успешное прохождение авторизации и с проверкой, что после нажатия на кнопку Войти в Одноклассники переход на страницу Лента"
"broken","Thu Apr 03 07:45:13 GMT 2025","Thu Apr 03 07:45:33 GMT 2025","20366","","Тесты для Авторизации пользователя","","tests.CheckLoginTest","testCheckVisibleErrorMessageWithEmptyLoginAndPassword","Получение ошибки при пустом логине и пароле","Тест проверяет на получение ошибки, в случае если вводим пустой логин и пароль"
