"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 03 06:51:52 GMT 2025","Thu Apr 03 06:52:14 GMT 2025","22315","","Тесты для Авторизации пользователя","","tests.CheckLoginTest","testCheckVisibleErrorMessageWithEmptyLogin","Получение ошибки при пустом логине","Тест проверяет на получение ошибки, в случае если вводим пустой логин"
"passed","Thu Apr 03 06:52:38 GMT 2025","Thu Apr 03 06:52:44 GMT 2025","6048","","Тесты для Авторизации пользователя","","tests.CheckLoginTest","testCheckVisibleErrorMessageWithEmptyLoginAndPassword","Получение ошибки при пустом логине и пароле","Тест проверяет на получение ошибки, в случае если вводим пустой логин и пароль"
"passed","Thu Apr 03 06:52:32 GMT 2025","Thu Apr 03 06:52:38 GMT 2025","5676","","Тесты для Авторизации пользователя","","tests.CheckLoginTest","testCheckVisibleErrorMessageWithEmptyPassword","Получение ошибки при пустом пароле","Тест проверяет на получение ошибки, в случае если вводим пустой пароль"
"failed","Thu Apr 03 06:52:14 GMT 2025","Thu Apr 03 06:52:32 GMT 2025","17901","","Тесты для Авторизации пользователя","","tests.CheckLoginTest","testCheckSuccessAuth","Прохождение авторизации","Тест проверяет успешное прохождение авторизации и с проверкой, что после нажатия на кнопку Войти в Одноклассники переход на страницу Лента"
