"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Mar 26 20:53:05 GMT 2025","Wed Mar 26 20:53:23 GMT 2025","18340","","Тесты для Ленты пользователя","","tests.CheckTapeTest","testCheckActiveButtonMomentsAndButtonHobbiesNotActiveOnTape","Кнопка Моменты после нажатия активна и кнопка Увлечения неактивна","Тест проверяет, что после нажатия на кнопку Моменты атрибут aria-selected:true, у кнопки Увлечения атрибут атрибут aria-selected:false"
"failed","Wed Mar 26 20:53:23 GMT 2025","Wed Mar 26 20:53:40 GMT 2025","17015","","Тесты для Ленты пользователя","","tests.CheckTapeTest","testCheckActiveButtonOnTape","Выбор кнопки Увлечения при открытии страницы Лента","Тест проверяет атрибут aria-selected:true у кнопки Увлечения при открытии страницы Лента"
"failed","Wed Mar 26 20:52:09 GMT 2025","Wed Mar 26 20:52:30 GMT 2025","21489","","Тесты для Ленты пользователя","","tests.CheckTapeTest","testCheckButtonHobbiesVisibleOnPage","Отображение кнопки Увлечения при открытии страницы Лента","Тест проверяет видимость кнопки Увлечения при открытии страницы Лента"
"failed","Wed Mar 26 20:52:30 GMT 2025","Wed Mar 26 20:52:47 GMT 2025","16760","","Тесты для Ленты пользователя","","tests.CheckTapeTest","testCheckNotActiveButtonOnTape","Неактивна кнопка Моменты при открытии страницы Лента","Тест проверяет атрибут aria-selected:false у кнопки Моменты при открытии страницы Лента"
"failed","Wed Mar 26 20:52:47 GMT 2025","Wed Mar 26 20:53:05 GMT 2025","17889","","Тесты для Ленты пользователя","","tests.CheckTapeTest","testCheckButtonMomentsVisibleOnPage","Отображение кнопки Моменты при открытии страницы Лента","Тест проверяет отображение кнопки Моменты при открытии страницы Лента"
